City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,San Patricio,US,28.017,-97.5169,58.89,80,100,7.94,overcast clouds
79,Ewa Beach,US,21.3156,-158.0072,76.08,75,74,6.82,broken clouds
80,Nushki,PK,29.5542,66.0215,55.33,22,0,3.02,clear sky
81,Haukipudas,FI,65.1765,25.3523,21.25,98,77,3.8,broken clouds
82,Cidreira,BR,-30.1811,-50.2056,70.66,74,96,12.1,overcast clouds
83,Honiara,SB,-9.4333,159.95,80.19,86,100,7.09,overcast clouds
84,Hualmay,PE,-11.0964,-77.6139,69.94,86,100,7.87,overcast clouds
85,Severo-Kurilsk,RU,50.6789,156.125,23.92,77,96,36.89,light snow
86,Longyearbyen,SJ,78.2186,15.6401,12.04,73,75,11.5,broken clouds
87,Kodiak,US,57.79,-152.4072,33.19,95,100,15.41,light snow
88,Najran,SA,17.4924,44.1277,58.15,24,2,1.83,clear sky
89,Grand-Santi,GF,4.25,-54.3833,69.69,99,65,2.24,broken clouds
90,Cape Town,ZA,-33.9258,18.4232,65.08,76,23,6.24,few clouds
91,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,74,75,7.0,broken clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,-22.77,100,54,8.43,broken clouds
93,Mahebourg,MU,-20.4081,57.7,81.25,83,40,2.3,scattered clouds
94,Buchanan,LR,5.8808,-10.0467,77.25,83,86,3.31,light rain
95,Butaritari,KI,3.0707,172.7902,82.38,78,3,16.67,clear sky
96,Mongo,TD,12.1844,18.693,63.12,24,76,6.69,broken clouds
97,Stornoway,GB,58.2093,-6.3865,42.76,87,40,4.0,scattered clouds
98,Yellandu,IN,17.6,80.3333,71.19,27,8,5.39,clear sky
99,Atar,MR,20.5169,-13.0499,63.1,38,100,8.37,overcast clouds
100,Galle,LK,6.0367,80.217,80.94,68,40,5.5,scattered clouds
101,Ust-Maya,RU,60.4167,134.5333,-26.43,93,89,0.36,overcast clouds
102,Marsa Matruh,EG,31.3525,27.2453,52.7,64,95,9.93,overcast clouds
103,Dikson,RU,73.5069,80.5464,6.64,92,100,23.11,overcast clouds
104,Airai,TL,-8.9266,125.4092,75.43,56,81,5.19,broken clouds
105,Mattawa,US,46.7379,-119.9028,32.52,97,24,3.65,few clouds
106,Bambous Virieux,MU,-20.3428,57.7575,81.21,61,20,5.75,few clouds
107,Dali,CN,25.7,100.1833,51.94,51,20,6.78,few clouds
108,Jilikul,TJ,37.4917,68.5311,49.32,30,100,6.78,overcast clouds
109,Broome,US,42.2506,-75.833,27.63,64,100,3.0,overcast clouds
110,Kawalu,ID,-7.3817,108.2082,84.06,67,100,2.42,overcast clouds
111,Loukhi,RU,66.0764,33.0381,7.54,98,98,2.26,overcast clouds
112,Ixtapa,MX,20.7,-105.2,70.23,88,0,0.0,clear sky
113,Kysyl-Syr,RU,63.8986,122.7617,-9.09,91,14,4.38,few clouds
114,Lebu,CL,-37.6167,-73.65,58.75,95,10,1.03,clear sky
